place,title,link,category,description,telephone,address,roadAddress,mapx,mapy
건대,카페데코믹스 건대점,http://www.cafedecomics.com/,오락시설>만화방,,02-465-1222,서울특별시 광진구 화양동 3-22 지층,서울특별시 광진구 능동로 141,318193,549439
건대,코믹스팩토리,http://comitory.blog.me/,오락시설>만화방,,02-461-4614,서울특별시 광진구 화양동 5-5,서울특별시 광진구 능동로 123 지하 1층,318134,549288
건대,놀숲 건대점,http://www.nolsoop.co.kr/,"스포츠,오락>만화방",,02-2205-3927,서울특별시 광진구 자양동 7-25,서울특별시 광진구 아차산로 224 3층 놀숲건대점,317843,549120
건대,놀숲 어린이대공원점,,"스포츠,오락>만화방",,02-466-0708,서울특별시 광진구 화양동 2-22,서울특별시 광진구 능동로 153-1,318243,549557
건대,만화카페 휴,,오락시설>만화방,,02-477-9265,서울특별시 광진구 화양동 45-65 지하1층,서울특별시 광진구 아차산로25길 17,317728,549305
건대,만화박사,,오락시설>만화방,"만화, 코믹스, 순정, 판타지소설, 신무협소설, 퓨전판타지, 수면시설 완비.",02-498-8678,서울특별시 광진구 화양동 94-7,서울특별시 광진구 능동로 167,318290,549686
건대,만화사랑,http://blog.naver.com/manwhasarang,오락시설>만화방,,02-497-0237,서울특별시 광진구 자양동 553-303,서울특별시 광진구 뚝섬로23길 48 지하,317661,548746
건대,만화카페사랑애,http://jaeweon9.blog.me/,오락시설>만화방,,,서울특별시 광진구 중곡2동 124-22 3층,서울특별시 광진구 용마산로 53,319590,551084
건대,얼짱만화방,,오락시설>만화방,"서울특별시 성동구 성수동 위치, 만화방, 노래방.",02-499-3488,서울특별시 성동구 성수2가3동 289-13 성수동복합시설 2층,서울특별시 성동구 성수일로8길 53 성수동복합시설 2층,316820,549657
건대,만화의 성,,오락시설>만화방,,,서울특별시 광진구 구의동 242-58 지하1층,서울특별시 광진구 자양로18길 79 지하1층,319588,548881
건대,보드스토리 건대점,http://blog.naver.com/kunimihiro78,"카페,디저트>보드카페","서울특별시 광진구 화양동 위치, 보드카페.",02-465-7770,서울특별시 광진구 화양동 7-9,서울특별시 광진구 동일로22길 104 진명빌딩,317995,549137
건대,라임,http://www.facebook.com/lime.boardgame,"카페,디저트>보드카페",,,서울특별시 광진구 화양동 5-106 3층,서울특별시 광진구 능동로 111,318094,549173
건대,고양이다락방 건대점,http://www.godabang.com/,"카페,디저트>테마카페","서울특별시 광진구 자양4동 소재, 고양이 전용 카페.",02-2205-3123,서울특별시 광진구 자양4동 1-3 3층,서울특별시 광진구 아차산로34길 5-3,318001,549039
건대,카페데코믹스 건대점,http://www.cafedecomics.com/,오락시설>만화방,,02-465-1222,서울특별시 광진구 화양동 3-22 지층,서울특별시 광진구 능동로 141,318193,549439
건대,플레이독스,,"카페,디저트>애견카페",,02-497-5789,서울특별시 광진구 화양동 94-61,서울특별시 광진구 능동로 163,318276,549634
건대,샹그리라,,"카페,디저트>고양이카페",,02-466-9998,서울특별시 광진구 화양동 90-4,서울특별시 광진구 능동로 161 3층,318267,549622
건대,수VR멀티방,http://blog.naver.com/kimsw0917,"스포츠,오락>멀티방","노래, 영화, Wii게임,TV, 인터넷, 셀프바 전문.",02-464-9966,서울특별시 광진구 화양동 8-102 삼거리포차 3층,서울특별시 광진구 동일로22길 107,318010,549154
건대,스마일멀티카페 건대입구점,,"스포츠,오락>멀티방","광진구 화양동 위치, 멀티방.",,서울특별시 광진구 화양동 7-12 4층,서울특별시 광진구 아차산로 235,317975,549137
건대,2구역멀티방,,"스포츠,오락>멀티방","서울특별시 광진구 화양동 위치, 멀티방.",,서울특별시 광진구 화양동 5-48,서울특별시 광진구 동일로22길 111,318035,549142
건대,엠플레이 건대점,,"스포츠,오락>멀티방","서울특별시 광진구 화양동 소재, 멀티방.",02-462-5836,서울특별시 광진구 화양동 9-90,서울특별시 광진구 아차산로29길 12 서강약국,317878,549216
건대,M+2구역멀티방노래방,,"스포츠,오락>노래방",,,서울특별시 광진구 화양동 5-49 3층,,318028,549144
건대,팝스멀티방 강변역점,http://cafe.daum.net/popsmb6,"스포츠,오락>멀티방","노래, 게임, 인터넷, TV 등 복합문화공간.",02-3436-6900,서울특별시 광진구 구의동 546-11 지너스타워 지하1층,서울특별시 광진구 강변역로4길 10 강변역지너스타워,320073,548517
건대,화이트캐슬,,"카페,디저트>테마카페","서울특별시 광진구 화양동 소재, 포토카페.",,서울특별시 광진구 화양동 9-91,서울특별시 광진구 동일로22길 81 캠퍼스 프라자,317908,549206
건대,건대 VR카페  VRavo,http://www.facebook.com/VRavoCafe,"스포츠,오락>오락시설",,02-6465-2688,서울특별시 광진구 화양동 113-1 코지웰 상가건물 203호 VRavo,서울특별시 광진구 능동로19길 35 광진 코지웰,318184,549849
건대,BAD VR 건대점,,"스포츠,오락>오락시설",,,서울특별시 광진구 화양동 7-4,서울특별시 광진구 아차산로 221,317856,549171
건대,브리즈브이알카페 건대점,,"스포츠,오락>오락시설",,,서울특별시 광진구 자양동 7-6,서울특별시 광진구 아차산로 230 2층,317901,549084
건대,모두막 건대점,http://blog.naver.com/modumak,테마카페,,02-6348-0434,서울특별시 광진구 자양동 10-35 2층,서울특별시 광진구 동일로20길 50,317686,549126
건대,위vr,http://www.instagram.com/wevr4565,"스포츠,오락>오락시설",,02-497-1222,서울특별시 광진구 화양동 3-37,서울특별시 광진구 능동로 131 2층,318157,549353
홍대,카페데코믹스 홍대점,https://cafedecomicshd.modoo.at,오락시설>만화방,"서울특별시 마포구 서교동 위치, 만화카페.",02-338-2221,서울특별시 마포구 서교동 358-113 3층,서울특별시 마포구 어울마당로 96,304974,550695
홍대,클럽보다만화,https://www.facebook.com/clubcomicss/,오락시설>만화방,,02-336-1288,서울특별시 마포구 서교동 395-17,"서울특별시 마포구 잔다리로 23 2층(서교동, 예랑빌딩)",304788,550388
홍대,딩굴딩굴 알타미라,http://dgdg.modoo.at/,오락시설>만화방,,02-322-7676,서울특별시 마포구 서교동 336-1,서울특별시 마포구 와우산로29길 21,305523,550843
홍대,만화카페 즐거운작당,http://instagram.com/happyjakdang,오락시설>만화방,,02-336-9086,서울특별시 마포구 서교동 400-6 대동빌딩 지하1층,서울특별시 마포구 독막로7길 23 대동빌딩 지하1층,304664,550196
홍대,벌툰 홍대본점,https://www.facebook.com/벌툰-홍대본점-1238144989580946/,"스포츠,오락>만화방",,02-3142-8880,서울특별시 마포구 서교동 395-18,서울특별시 마포구 독막로7길 63,304777,550373
홍대,놀숲플러스 홍대점,,"스포츠,오락>만화방",,02-337-6588,서울특별시 마포구 서교동 357-5,서울특별시 마포구 양화로16길 29 B1,304876,550659
홍대,청춘문화싸롱,http://blog.naver.com/ccmhsalon,오락시설>만화방,,,서울특별시 마포구 서교동 332-15,서울특별시 마포구 와우산로29바길 19 삼이빌딩,305303,550910
홍대,놀숲 홍대입구점,,"스포츠,오락>만화방",,02-336-1705,서울특별시 마포구 서교동 358-2,서울특별시 마포구 홍익로 17 5층,305019,550730
홍대,킥킥나무,http://kikiknamu.co.kr,오락시설>만화방,,,서울특별시 마포구 동교동 173-14,서울특별시 마포구 양화로 192 지하1층,305332,551221
홍대,만화카페킥킥나무,,오락시설>만화방,,,서울특별시 마포구 동교동 173-14,서울특별시 마포구 양화로 192,305331,551226
홍대,보드스쿨 신촌점,http://cafe.naver.com/cafeboardschool,"카페,디저트>보드카페",,02-3144-8658,서울특별시 서대문구 창천동 52-51 3층,서울특별시 서대문구 연세로7길 14,306196,551156
홍대,펀타임,,"카페,디저트>보드카페","신촌 보드카페, 보드게임방.",,서울특별시 서대문구 창천동 18-5 6층,서울특별시 서대문구 명물길 6,306310,551105
홍대,펀카페,,"카페,디저트>보드카페","서울특별시 서대문구 창천동 위치, 보드게임 전문.",02-313-2142,서울특별시 서대문구 창천동 18-1,서울특별시 서대문구 명물길 10 조은빌딩 3층,306322,551116
홍대,랜드마크,http://cafe.naver.com/landmarkcafe,"카페,디저트>보드카페","서대문구 창천동 위치, 보드게임방, 카드게임.",02-336-7834,서울특별시 서대문구 창천동 52-22,서울특별시 서대문구 연세로9길 10-1,306208,551248
홍대,청춘고양이카페 홍대점,http://ycatcafe.modoo.at/,"카페,디저트>고양이카페",홍대최초의 고양이카페 홍대놀이터앞위치 사랑스럽고 애교많은 40여마리의 냥이들의 집에 놀러오세요~,02-336-5779,서울특별시 마포구 서교동 358-92 3층,서울특별시 마포구 와우산로21길 12-6,305048,550606
홍대,고양이다락방 홍대점,http://www.godabang.com/,"카페,디저트>고양이카페",서울특별시 마포구 동교동 소재의 고양이 카페.,02-3142-3123,서울특별시 마포구 동교동 162-14,서울특별시 마포구 홍익로6길 21,305034,550911
홍대,카페데코믹스 홍대점,https://cafedecomicshd.modoo.at,오락시설>만화방,"서울특별시 마포구 서교동 위치, 만화카페.",02-338-2221,서울특별시 마포구 서교동 358-113 3층,서울특별시 마포구 어울마당로 96,304974,550695
홍대,오늘도 고양이,http://blog.naver.com/always_cat,"카페,디저트>고양이카페",,,서울특별시 마포구 서교동 339-13,서울특별시 마포구 와우산로29가길 42,305407,550738
홍대,연남동 고양이 카페,,"카페,디저트>고양이카페",,02-336-6430,서울특별시 마포구 동교동 154-5,서울특별시 마포구 양화로21길 15 3층,305220,551292
홍대,카페펫크루,http://blog.naver.com/hyunha0205,"카페,디저트>고양이카페",,02-332-1367,서울특별시 마포구 서교동 342-3,서울특별시 마포구 와우산로25길 13 2층,305288,550742
홍대,멀티플러스 홍대점,https://hongdaemultiplus.modoo.at,"스포츠,오락>멀티방","서울특별시 마포구 서교동 위치, 노래방, 영화감상, 인터넷, TV시청 등 멀티방 안내.",02-333-7799,서울특별시 마포구 서교동 355-2 3층,서울특별시 마포구 홍익로5길 13,304916,550778
홍대,스토리M멀티방노래방,,"스포츠,오락>노래방",,,서울특별시 마포구 동교동 169-22,서울특별시 마포구 양화로18안길 22 B&J빌딩,305288,551057
홍대,샵브이알 1호점,https://www.facebook.com/shopvr.official/?ref=ts&fref=ts,"카페,디저트>테마카페",,02-336-2242,서울특별시 마포구 서교동 358-51 3층,서울특별시 마포구 와우산로21길 36-10 3층,304961,550621
강남,벌툰 강남역점,http://blog.naver.com/pwyok,"스포츠,오락>만화방",,02-569-4976,서울특별시 강남구 역삼동 817-35 3층,서울특별시 강남구 강남대로98길 16 파빌리온 3층,314258,544731
강남,만화카페 섬 강남역점,http://www.sumisland.com/,오락시설>만화방,,02-538-3756,서울특별시 강남구 역삼동 620-15 2층,서울특별시 강남구 강남대로98길 25,314313,544774
강남,꿀잼코믹스,http://blog.naver.com/kulzam,오락시설>만화방,,02-554-0524,서울특별시 강남구 역삼동 819-3 삼오빌딩 B1,서울특별시 강남구 강남대로94길 20,314340,544593
강남,놀숲 신사가로수길점,,"스포츠,오락>만화방",,02-549-9918,서울특별시 강남구 신사동 515-8,서울특별시 강남구 도산대로11길 11 지하1층,313781,546675
강남,놀숲 강남역점,,"스포츠,오락>만화방",,02-558-5846,서울특별시 강남구 역삼동 620-9 1층,서울특별시 강남구 강남대로98길 17 시티힐 빌딩,314244,544768
강남,올툰 만화카페,https://alltoon.modoo.at,오락시설>만화방,,,서울특별시 강남구 역삼동 697-11,서울특별시 강남구 선릉로93길 18 신성프라자 B1,315931,545217
강남,놀숲 강남대성학원점,http://blog.naver.com/yoosy3003,"스포츠,오락>만화방",,02-563-3363,서울특별시 강남구 역삼동 827-14,서울특별시 강남구 테헤란로4길 35 4층,314488,544230
강남,놀숲 압구정역점,http://blog.naver.com/nolsoop1506,"스포츠,오락>만화방",,02-544-6250,서울특별시 강남구 신사동 577-8,서울특별시 강남구 압구정로28길 22-6 지하 1층,314199,547460
강남,아모르드코믹스,,오락시설>만화방,"서울특별시 강남구 신사동 위치, 만화방.",02-546-5588,서울특별시 강남구 신사동 502-1,서울특별시 강남구 강남대로 628,313519,546645
강남,코믹스토리,http://www.znx.co.kr/,오락시설>만화방,,02-445-8431,서울특별시 강남구 일원동 644-1,서울특별시 강남구 양재대로55길 15,319503,543699
강남,보드카페 아수라발발타,http://balbalta.modoo.at,"스포츠,오락>오락시설",,02-553-6443,서울특별시 강남구 역삼동 678-16 서안빌딩 3층,서울특별시 강남구 테헤란로33길 13 서안빌딩 3층,315239,544932
강남,펀타임,,"카페,디저트>보드카페",,02-557-0327,서울특별시 강남구 역삼동 820-2,서울특별시 강남구 테헤란로1길 17 3층,314220,544590
강남,윈보드게임카페,,"카페,디저트>보드카페",서울특별시 강남구 신사동에 위치한 보드게임 카페.,02-516-1145,서울특별시 강남구 신사동 642-27,서울특별시 강남구 언주로168길 37,315050,547528
강남,듀스 보드게임 까페,,"카페,디저트>보드카페",,,서울특별시 강남구 신사동 636-20 지하1층,서울특별시 강남구 압구정로42길 24-5,314864,547673
강남,블루칩 보드카페,,"카페,디저트>보드카페",,02-512-1909,서울특별시 강남구 신사동 663-17,서울특별시 강남구 선릉로157길 14-7 압구정빌딩,315232,547591
강남,보드스토리 건대점,http://blog.naver.com/kunimihiro78,"카페,디저트>보드카페","서울특별시 광진구 화양동 위치, 보드카페.",02-465-7770,서울특별시 광진구 화양동 7-9,서울특별시 광진구 동일로22길 104 진명빌딩,317995,549137
강남,라임,http://www.facebook.com/lime.boardgame,"카페,디저트>보드카페",,,서울특별시 광진구 화양동 5-106 3층,서울특별시 광진구 능동로 111,318094,549173
강남,아지트보드게임카페,http://cafe.naver.com/playazit,"카페,디저트>보드카페","서울특별시 송파구 잠실본동 위치, 아지트 보드게임방.",,서울특별시 송파구 잠실동 180-6 2층,서울특별시 송파구 올림픽로12길 4-23 2층,319007,545839
강남,보드플레이,,"카페,디저트>보드카페",,,서울특별시 서초구 잠원동 18-18,서울특별시 서초구 나루터로 66,313319,546349
강남,푸른하늘,,테마카페,,,서울특별시 송파구 석촌동 184-5 2층,서울특별시 송파구 송파대로 459 복창빌딩,321067,545381
강남,고양이다락방 강남점,http://www.godabang.com/,"카페,디저트>테마카페",서울특별시 서초구 서초동에 소재한 카페.,02-3481-3123,서울특별시 서초구 서초동 1317-11,서울특별시 서초구 서초대로77길 9,314092,544495
강남,집사의하루,https://www.instagram.com/catcafeitaewon/?hl=ko,"카페,디저트>고양이카페",,02-555-7984,서울특별시 강남구 역삼동 619-4,서울특별시 강남구 강남대로102길 14 5층 집사의하루,314168,544867
강남,놀러와멀티방,,"스포츠,오락>멀티방","서울특별시 강남구 역삼동 소재, 멀티방.",,서울특별시 강남구 역삼동 619-5,서울특별시 강남구 강남대로100길 13,314179,544857
강남,엠플러스 멀티방,http://blog.naver.com/achim8029,"스포츠,오락>멀티방","멀티방 전문업체, 시설 및 이용 요금 제공.",02-567-9222,"서울특별시 강남구 역삼동 818 신진빌딩 3, 4층",서울특별시 강남구 테헤란로1길 20,314236,544614
강남,큐플러스멀티방,,"스포츠,오락>멀티방","서울특별시 강남구 역삼동 소재, 멀티방.",02-565-8110,서울특별시 강남구 역삼동 817-1 3F,서울특별시 강남구 강남대로98길 10,314213,544722
강남,퍼니플러스멀티방,,"스포츠,오락>멀티방","역삼동 위치, 멀티방.",02-563-8110,서울특별시 강남구 역삼동 619-18 4F,서울특별시 강남구 테헤란로1길 42,314178,544774
강남,팝스멀티방,,"스포츠,오락>멀티방","서울특별시 강남구 역삼동 위치, 멀티방.",,서울특별시 강남구 역삼동 817-11 4층,서울특별시 강남구 강남대로96길 9,314231,544640
강남,강남퍼니멀티방노래방,,"스포츠,오락>노래방",,02-558-8110,서울특별시 강남구 역삼동 619-3 5층,서울특별시 강남구 강남대로102길 16 5층,314184,544890
강남,POPS멀티방노래방,,"스포츠,오락>노래방",,,서울특별시 강남구 역삼동 817-11 4층,서울특별시 강남구 강남대로96길 9 4층,314231,544640
강남,블랙죤DVD,,"스포츠,오락>DVD방",,02-563-8021,서울특별시 강남구 역삼동 817,서울특별시 강남구 강남대로98길 8 선인빌딩,314201,544711
강남,DVD 홀릭,https://blog.naver.com/newworld777,"스포츠,오락>DVD방",,,서울특별시 강남구 신사동 656-1 2층,서울특별시 강남구 선릉로155길 27,315103,547487
강남,수VR멀티방,http://blog.naver.com/kimsw0917,"스포츠,오락>멀티방","노래, 영화, Wii게임,TV, 인터넷, 셀프바 전문.",02-464-9966,서울특별시 광진구 화양동 8-102 삼거리포차 3층,서울특별시 광진구 동일로22길 107,318010,549154
강남,브이알존 강남점,http://vr-zone.co.kr,"스포츠,오락>오락시설",,02-591-0770,서울특별시 서초구 서초동 1307-20,서울특별시 서초구 서초대로77길 25 경일빌딩 3층,314041,544648
강남,브이알존 가로수길점,http://vr-zone.co.kr,"스포츠,오락>오락시설",,02-545-3394,서울특별시 강남구 신사동 536-3,서울특별시 강남구 도산대로11길 18,313808,546726
강남,엔터브이알카페,,"스포츠,오락>오락시설",,,서울특별시 강남구 신사동 536,서울특별시 강남구 강남대로156길 46 2/3층,313801,546768
강남,엔터브이알카페,,"스포츠,오락>오락시설",,,서울특별시 강남구 역삼동 815,서울특별시 강남구 강남대로 432 점프밀라노 6층,314135,544797
강남,더리얼,http://blog.naver.com/therealvr,"스포츠,오락>PC방",,02-553-8044,서울특별시 강남구 역삼동 813-10,서울특별시 강남구 봉은사로4길 36 운현빌딩 401호,314153,544935
강남,레퓨지,https://blog.naver.com/matchless80,테마카페,,02-518-1161,서울특별시 강남구 논현동 235-13,서울특별시 강남구 봉은사로 215 KTS빌딩 B1,314933,545545
강남,브이알존 코엑스 직영점,http://vr-zone.co.kr,"스포츠,오락>오락시설",,02-6002-5525,서울특별시 강남구 삼성동 159,서울특별시 강남구 봉은사로 524 코엑스몰 B1 J106,317072,546040
